,LINE,TYPE,EMOTE SPAMMED,Rarity,Possible Source,CLIP - Sound bit,
145,Let me smell YO DICK,Song lyric,Pepepains; forsenWhat,Very rare,Smell Yo Dick - Riskay,https://clips.twitch.tv/SillyBelovedSkirretKeepo-2s-rFFsrB_V53COF,
146,Leviosaa!,Movie line,Pepepains,Uncommon,Wingardium Leviosa (Harry Potter Parody Animation) - Oney Cartoons,https://clips.twitch.tv/SavageAbnegatePeachSMOrc-ITz_CshozMyeZI_1,
147,Like a boss!,Song lyric,Pepepains,Rare,The Lonely Island ft. Seth Rogen - Like A Boss,https://clips.twitch.tv/FunInterestingBananaDancingBaby-SaINb7r1eF3SaqKk,
148,Lit as FUCK BOI!,Random line,Pepepains,Uncommon,-,,
149,Look at you go!,Movie line,Pepepains,Very rare,The Dark Knight ,,
150,Luke im your father!,Movie line,BatChest; Pepepains,Very rare,Star Wars EP5,https://clips.twitch.tv/MoistViscousBubbleteaJebaited-aD_Ofkt8usKBQyK-,
151,madafaka madafaka,Famous line,-,Common,Pulp fiction ,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/madafaka%20madafaka.mp3,
152,Master bruce,Famous line,- ,Very rare,-,https://clips.twitch.tv/ToughEndearingNewtUWot-Ad3C-bu04VCatFCq,
153,May there be light,Famous line,Pepepains,Rare,-,https://clips.twitch.tv/RockyAbnegateKoupreyGivePLZ-9UcdwwMDrQZQ9BBV,
154,Meat is murder .. sir this is a bakery,Random line,-,Very rare,This is library (?) ,https://clips.twitch.tv/ThankfulObliqueWoodpeckerPJSugar-bOWvRdRYZUCHF5Rs,
155,MEN VA FAN HELVETTE!,Famous line,forsenSWA,Common,FORSEN RAGE DARK SOULS,https://clips.twitch.tv/RefinedClumsyCatLitty-hHXLlbvlirddwBXd,https://clips.twitch.tv/FineThirstyConsoleTwitchRaid-cAeyR8OpreUKH2ys
156,MODS! Ban vadikus and samme1g .. Permaban,Famous line,MODS,Rare,Forsen himself,https://www.youtube.com/watch?v=hkbKZfVfVI0,
157,Mods! scroll up!,Famous line,MODS,Common,Forsen himself,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/mods/mods%20scroll%20up%20and%20ban%20that%20guy.mp3,
158,MORE DPS,Viral Video,-,Very rare,Onyxia Wipe Animation,https://clips.twitch.tv/SmoothRelatedCaterpillarPunchTrees-CxbFAZQW_0zP5aJE,
159,Mussle,Famous line,forsenT,Common,Forsen himself (his way to say muscle),,
160,My instincts are telling me no but my body is telling me yes!,Song lyric,Pepepains,Very rare,Bump and Grind,,
161,"My life is potato, all i dream about is potato",Viral Video,Pepepains,Common,My Life is potato,https://clips.twitch.tv/EndearingSmoothLaptopPipeHype-iSkwlZI7_-9pnisk,
162,My name is jeff,Movie line,Pepepains,Rare,22 Jump Street,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/jeff.mp3,
163,My name is pewdiepie,Random line,cmonBruh,Very rare,Evolution of Pewdiepie intro,,
164,My name is sven,Famous line,forsenGa,Very rare,Forsen himself,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/sven/sven.mp3,
165,My spider senses are tingling,TV Show line,Pepepains,Rare,SpiderMan ,https://clips.twitch.tv/TenaciousAntediluvianMacaroniJebaited-3VD6jp2yb1e8H4DU,
166,Need a medic over here,Video Game,-,Very rare,-,,
167,Netflx and chill,Famous line,Pepepains,Uncommon,Forsen Himself,https://clips.twitch.tv/PrettiestEnchantingJellyfishStoneLightning-fpECn7nJobePthcg,
168,NEVER AM I EVER FUCKING LUCKY!,Famous line,forsenClown; BabyRage;,Common,Hearthstone era,https://clips.twitch.tv/GloriousShortLouseLitty-BYrrZgvk6YamPRXf,
169,Never say never,Song lyric,JB ♥ - Pepepains,Uncommon,Justin Bieber - Never Say Never,https://youtu.be/Frqu--76CBA?t=150,
